iter	RMSE
0	1609.009996
1	1525.486033
2	1453.464243
3	1392.127032
4	1340.198544
5	1302.921013
6	1265.106973
7	1233.827641
8	1206.135378
9	1185.777428
10	1169.196302
11	1155.519363
12	1142.053255
13	1131.916018
14	1122.679848
15	1113.838034
16	1106.695817
17	1101.374067
18	1096.578495
19	1092.892912
20	1089.190632
21	1086.88454
22	1084.871416
23	1082.822375
24	1081.347007
25	1079.73557
26	1078.328598
27	1077.351705
28	1076.204769
29	1075.49135
30	1074.389207
31	1073.778675
32	1073.156225
33	1072.420067
34	1071.875824
35	1071.275983
36	1070.632107
37	1070.093428
38	1069.554596
39	1069.207951
40	1068.695202
41	1068.174722
42	1067.993361
43	1067.801472
44	1067.457199
45	1067.083067
46	1066.582832
47	1066.146101
48	1065.701797
49	1065.532134
